method_a,method_b,agreement_score,sample_idx
IntegratedGradients,SHAP,0.3225806451612903,18645
GradCAM,IntegratedGradients,0.38095238095238093,18813
GradCAM,SHAP,0.38095238095238093,18813
IntegratedGradients,SHAP,1.0,18813
GradCAM,IntegratedGradients,0.65,18904
GradCAM,SHAP,0.6666666666666666,18904
IntegratedGradients,SHAP,0.95,18904
GradCAM,IntegratedGradients,0.0,19020
GradCAM,SHAP,0.0,19020
IntegratedGradients,SHAP,0.8,19020
GradCAM,IntegratedGradients,0.5365853658536586,19090
GradCAM,SHAP,0.65,19090
IntegratedGradients,SHAP,0.7906976744186046,19090
GradCAM,IntegratedGradients,0.0,19123
GradCAM,SHAP,0.0,19123
IntegratedGradients,SHAP,0.9473684210526315,19123
GradCAM,IntegratedGradients,0.5,19233
GradCAM,SHAP,0.46153846153846156,19233
IntegratedGradients,SHAP,0.926829268292683,19233
GradCAM,IntegratedGradients,0.7142857142857143,19300
GradCAM,SHAP,0.7619047619047619,19300
IntegratedGradients,SHAP,0.9523809523809523,19300
GradCAM,IntegratedGradients,0.2857142857142857,19301
GradCAM,SHAP,0.22727272727272727,19301
IntegratedGradients,SHAP,0.5909090909090909,19301
GradCAM,IntegratedGradients,0.0,19480
GradCAM,SHAP,0.0,19480
IntegratedGradients,SHAP,0.7843137254901961,19480
GradCAM,IntegratedGradients,0.0,19577
GradCAM,SHAP,0.0,19577
IntegratedGradients,SHAP,0.975609756097561,19577
GradCAM,IntegratedGradients,0.5454545454545454,19631
GradCAM,SHAP,0.5454545454545454,19631
IntegratedGradients,SHAP,1.0,19631
GradCAM,IntegratedGradients,0.0,19662
GradCAM,SHAP,0.0,19662
IntegratedGradients,SHAP,0.8333333333333334,19662
GradCAM,IntegratedGradients,0.0,19679
GradCAM,SHAP,0.0,19679
IntegratedGradients,SHAP,0.5555555555555556,19679
GradCAM,IntegratedGradients,0.5714285714285714,19778
GradCAM,SHAP,0.6190476190476191,19778
IntegratedGradients,SHAP,0.6190476190476191,19778
GradCAM,IntegratedGradients,0.2857142857142857,19834
GradCAM,SHAP,0.2857142857142857,19834
IntegratedGradients,SHAP,0.9047619047619048,19834
GradCAM,IntegratedGradients,0.6046511627906976,19868
GradCAM,SHAP,0.6829268292682927,19868
IntegratedGradients,SHAP,0.8095238095238095,19868
GradCAM,IntegratedGradients,0.0,19872
GradCAM,SHAP,0.0,19872
IntegratedGradients,SHAP,0.16216216216216217,19872
GradCAM,IntegratedGradients,0.7619047619047619,19888
GradCAM,SHAP,0.42857142857142855,19888
IntegratedGradients,SHAP,0.47619047619047616,19888
GradCAM,IntegratedGradients,0.8292682926829268,19971
GradCAM,SHAP,0.8095238095238095,19971
IntegratedGradients,SHAP,0.975609756097561,19971
GradCAM,IntegratedGradients,0.5238095238095238,20019
GradCAM,SHAP,0.55,20019
IntegratedGradients,SHAP,0.95,20019
GradCAM,IntegratedGradients,0.36363636363636365,20134
GradCAM,SHAP,0.18181818181818182,20134
IntegratedGradients,SHAP,0.8823529411764706,20134
GradCAM,IntegratedGradients,0.52,20136
GradCAM,SHAP,0.625,20136
IntegratedGradients,SHAP,0.8,20136
GradCAM,IntegratedGradients,0.0,20138
GradCAM,SHAP,0.0,20138
IntegratedGradients,SHAP,0.8823529411764706,20138
GradCAM,IntegratedGradients,0.0,20141
GradCAM,SHAP,0.0,20141
IntegratedGradients,SHAP,0.9411764705882353,20141
GradCAM,IntegratedGradients,0.46153846153846156,20157
GradCAM,SHAP,0.44,20157
IntegratedGradients,SHAP,0.7692307692307693,20157
GradCAM,IntegratedGradients,0.48484848484848486,20170
GradCAM,SHAP,0.6666666666666666,20170
IntegratedGradients,SHAP,0.7058823529411765,20170
GradCAM,IntegratedGradients,0.0,20186
GradCAM,SHAP,0.0,20186
IntegratedGradients,SHAP,0.6470588235294118,20186
GradCAM,IntegratedGradients,0.0,20192
GradCAM,SHAP,0.0,20192
IntegratedGradients,SHAP,0.9411764705882353,20192
GradCAM,IntegratedGradients,0.68,20207
GradCAM,SHAP,0.56,20207
IntegratedGradients,SHAP,0.88,20207
GradCAM,IntegratedGradients,0.35,20208
GradCAM,SHAP,0.5116279069767442,20208
IntegratedGradients,SHAP,0.8292682926829268,20208
GradCAM,IntegratedGradients,0.75,20210
GradCAM,SHAP,0.95,20210
IntegratedGradients,SHAP,0.75,20210
GradCAM,IntegratedGradients,0.5,20218
GradCAM,SHAP,0.2857142857142857,20218
IntegratedGradients,SHAP,0.8235294117647058,20218
GradCAM,IntegratedGradients,0.47058823529411764,20219
GradCAM,SHAP,0.6875,20219
IntegratedGradients,SHAP,0.6470588235294118,20219
GradCAM,IntegratedGradients,0.5789473684210527,20220
GradCAM,SHAP,0.6666666666666666,20220
IntegratedGradients,SHAP,0.6829268292682927,20220
GradCAM,IntegratedGradients,0.0,20239
GradCAM,SHAP,0.0,20239
IntegratedGradients,SHAP,0.9411764705882353,20239
GradCAM,IntegratedGradients,0.85,20249
GradCAM,SHAP,0.7894736842105263,20249
IntegratedGradients,SHAP,0.9473684210526315,20249
GradCAM,IntegratedGradients,0.0,20250
GradCAM,SHAP,0.0,20250
IntegratedGradients,SHAP,0.9,20250
GradCAM,IntegratedGradients,0.4375,20276
GradCAM,SHAP,0.5517241379310345,20276
IntegratedGradients,SHAP,0.8,20276
GradCAM,IntegratedGradients,0.7027027027027027,20277
GradCAM,SHAP,0.7567567567567568,20277
IntegratedGradients,SHAP,0.9473684210526315,20277
GradCAM,IntegratedGradients,0.46153846153846156,20280
GradCAM,SHAP,0.631578947368421,20280
IntegratedGradients,SHAP,0.7428571428571429,20280
GradCAM,IntegratedGradients,0.4,20320
GradCAM,SHAP,0.4,20320
IntegratedGradients,SHAP,0.72,20320
GradCAM,IntegratedGradients,0.24,20428
GradCAM,SHAP,0.28,20428
IntegratedGradients,SHAP,0.84,20428
GradCAM,IntegratedGradients,0.16,20454
GradCAM,SHAP,0.24,20454
IntegratedGradients,SHAP,0.92,20454
GradCAM,IntegratedGradients,0.0,20484
GradCAM,SHAP,0.0,20484
IntegratedGradients,SHAP,0.88,20484
GradCAM,IntegratedGradients,0.0,20551
