epoch,active_lambda,aux_output_loss,aux_output_accuracy,main_output_accuracy,loss,main_output_loss,rrr_loss,val_active_lambda,val_aux_output_accuracy,val_aux_output_loss,val_loss,val_main_output_accuracy,val_main_output_loss,val_rrr_loss,learning_rate
1,0.0,0.33529478311538696,0.8643460273742676,0.8794503808021545,0.5919516086578369,0.3110276162624359,23.446115493774414,0.0,0.9318562746047974,0.24411174654960632,0.05077739804983139,0.9521090388298035,0.203370600938797,16.347970962524414,0.0010000000474974513
2,0.01666666753590107,0.301921546459198,0.9072475433349609,0.9258424639701843,0.4503132104873657,0.24883680045604706,1.9585195779800415,0.01666666753590107,0.9416781067848206,0.24862945079803467,0.14344140887260437,0.9556875228881836,0.19451174139976501,2.082808256149292,0.0010000000474974513
3,0.03333333507180214,0.2990129292011261,0.9134247303009033,0.9358909130096436,0.3365298807621002,0.2357776165008545,0.7238250374794006,0.03333333507180214,0.9455611109733582,0.2468140423297882,0.10147297382354736,0.9589614868164062,0.18821530044078827,0.8903399109840393,0.0010000000474974513
4,0.05000000074505806,0.2963219881057739,0.9141756892204285,0.9411055445671082,0.6903637647628784,0.22725218534469604,3.2623023986816406,0.05000000074505806,0.9454088807106018,0.24872848391532898,0.10763770341873169,0.9754834771156311,0.18100149929523468,0.7651481628417969,0.0010000000474974513
5,0.05000000074505806,0.2886561155319214,0.918872058391571,0.9452412724494934,0.26894208788871765,0.22119054198265076,0.647175133228302,0.05000000074505806,0.9447997808456421,0.24645832180976868,0.04900695011019707,0.981574535369873,0.1860305815935135,0.1846529245376587,0.0010000000474974513
6,0.05000000074505806,0.2806079387664795,0.9215163588523865,0.9491654634475708,0.30953601002693176,0.21461670100688934,0.8993755578994751,0.05000000074505806,0.9501294493675232,0.23952339589595795,0.042115069925785065,0.9814222455024719,0.18028059601783752,0.16605202853679657,0.0010000000474974513
7,0.05000000074505806,0.27494916319847107,0.9246049523353577,0.9525396227836609,0.2992122173309326,0.2096911519765854,0.3903880715370178,0.05000000074505806,0.9419065117835999,0.2422749102115631,0.07586473226547241,0.9829450249671936,0.1817651093006134,0.7238016724586487,0.0010000000474974513
8,0.05000000074505806,0.2714112102985382,0.9258530735969543,0.9537242650985718,0.23849153518676758,0.20695793628692627,0.24488583207130432,0.05000000074505806,0.9507385492324829,0.2386467009782791,0.03587346524000168,0.9826405048370361,0.19129465520381927,0.1288609802722931,0.0010000000474974513
9,0.05000000074505806,0.2665300667285919,0.9276300668716431,0.9579975008964539,0.18368814885616302,0.20300865173339844,0.6702289581298828,0.05000000074505806,0.9352063536643982,0.24169524013996124,0.06409755349159241,0.9690878391265869,0.18036022782325745,0.48630550503730774,0.0010000000474974513
10,0.05000000074505806,0.2630551755428314,0.929861843585968,0.9594571590423584,0.265572190284729,0.19945135712623596,0.9912203550338745,0.05000000074505806,0.9485305547714233,0.23050595819950104,0.031018907204270363,0.9823359251022339,0.17789456248283386,0.13116230070590973,0.0010000000474974513
11,0.05000000074505806,0.2584953308105469,0.9316071271896362,0.9608110785484314,0.16616633534431458,0.19672010838985443,0.414583295583725,0.05000000074505806,0.942058801651001,0.23047521710395813,0.04166364297270775,0.985914409160614,0.1714562624692917,0.21979887783527374,0.0010000000474974513
12,0.05000000074505806,0.2562408149242401,0.9321994185447693,0.9625245928764343,0.1631598025560379,0.19543342292308807,0.2949359118938446,0.05000000074505806,0.9518806338310242,0.22900699079036713,0.0666540339589119,0.9848484992980957,0.17171284556388855,0.4690742790699005,0.0010000000474974513
13,0.05000000074505806,0.25387436151504517,0.9340398907661438,0.964597761631012,0.12832319736480713,0.19295325875282288,0.2183598279953003,0.05000000074505806,0.9487589597702026,0.22329682111740112,0.0563272163271904,0.9864473938941956,0.1701609343290329,0.35577458143234253,0.0010000000474974513
14,0.05000000074505806,0.251585453748703,0.9356265068054199,0.964597761631012,0.1068754643201828,0.19212651252746582,0.13047000765800476,0.05000000074505806,0.9559159278869629,0.22358593344688416,0.041412603110075,0.9875894784927368,0.1706559658050537,0.2347150295972824,0.0010000000474974513
15,0.05000000074505806,0.25022876262664795,0.9366630911827087,0.9658775925636292,0.1570221483707428,0.1907123327255249,0.3034367561340332,0.05000000074505806,0.9478452801704407,0.2374287247657776,0.039976369589567184,0.9822598099708557,0.17935389280319214,0.18136034905910492,0.0010000000474974513
16,0.05000000074505806,0.2483776956796646,0.9375410079956055,0.9671574831008911,0.1533508151769638,0.18865934014320374,0.2244807630777359,0.05000000074505806,0.9497487545013428,0.22003060579299927,0.028966024518013,0.9834018349647522,0.17317207157611847,0.16075901687145233,0.0010000000474974513
17,0.05000000074505806,0.24535095691680908,0.9378160238265991,0.9680459499359131,0.18906617164611816,0.18690413236618042,0.5476991534233093,0.05000000074505806,0.9424394965171814,0.22117304801940918,0.08159157633781433,0.9856860041618347,0.165688157081604,0.6215227246284485,0.0010000000474974513
18,0.05000000074505806,0.24535885453224182,0.9381121397018433,0.9682046175003052,0.11664240062236786,0.18681833148002625,0.16481198370456696,0.05000000074505806,0.9508146643638611,0.21755394339561462,0.08836032450199127,0.988503098487854,0.16597671806812286,0.8443089723587036,0.0010000000474974513
19,0.05000000074505806,0.24240149557590485,0.9404497742652893,0.9688921570777893,0.16832485795021057,0.18515445291996002,0.2429550588130951,0.05000000074505806,0.9493680596351624,0.2229938954114914,0.07645032554864883,0.9881224036216736,0.16283932328224182,0.5763283371925354,0.0010000000474974513
20,0.05000000074505806,0.2399287223815918,0.9419305920600891,0.9712191224098206,0.14422836899757385,0.1828741729259491,0.2982226014137268,0.05000000074505806,0.9461702704429626,0.21723920106887817,0.07179956883192062,0.990254282951355,0.16324910521507263,0.8038093447685242,0.0010000000474974513
